,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,MEAN,VARIANCE,PERSON
0,31629,61377,76309,32938,74861,46889,67976,103994,80725,30995,65061,74816,34402,82821,77748,22632,31629,61377,76309,32938,74861,46889,67976,103994,80725,30995,65061,74816,34402,82821,77748,22632,37,7,10
1,21244,75199,95215,34105,94724,54768,52967,65455,96343,52271,37600,92286,30800,96906,92686,24909,21244,75199,95215,34105,94724,54768,52967,65455,96343,52271,37600,92286,30800,96906,92686,24909,39,7,10
2,24492,81352,93779,34270,88119,74295,52545,93135,75177,63903,39663,95101,20731,56996,95451,36747,24492,81352,93779,34270,88119,74295,52545,93135,75177,63903,39663,95101,20731,56996,95451,36747,40,7,10
3,25419,80679,78173,37271,100902,47239,58583,123389,98113,40661,44754,120030,41669,84235,105576,44253,25419,80679,78173,37271,100902,47239,58583,123389,98113,40661,44754,120030,41669,84235,105576,44253,44,7,10
4,19447,80584,125858,46730,122928,85133,86426,98200,102553,62193,66873,69550,34511,92561,103729,30839,19447,80584,125858,46730,122928,85133,86426,98200,102553,62193,66873,69550,34511,92561,103729,30839,47,7,10
5,33726,92687,109029,36051,70015,43728,39277,105868,63561,43617,44857,81467,36473,90109,104943,32544,33726,92687,109029,36051,70015,43728,39277,105868,63561,43617,44857,81467,36473,90109,104943,32544,40,7,10
6,36667,108476,107691,40850,88451,51813,54973,120624,54930,30314,53219,72286,24094,63644,81418,20647,36667,108476,107691,40850,88451,51813,54973,120624,54930,30314,53219,72286,24094,63644,81418,20647,39,7,10
7,29115,103557,109678,38817,77694,60730,53262,61650,66908,50758,34950,92599,24318,92889,102341,27235,29115,103557,109678,38817,77694,60730,53262,61650,66908,50758,34950,92599,24318,92889,102341,27235,40,7,10
8,28057,89465,95597,25798,77930,38944,48406,86660,83628,41040,45980,93562,24034,77142,72482,30268,28057,89465,95597,25798,77930,38944,48406,86660,83628,41040,45980,93562,24034,77142,72482,30268,37,7,11
9,35518,97081,99701,34652,82867,41412,56149,87099,84725,50116,56275,85779,15412,68511,70056,27935,35518,97081,99701,34652,82867,41412,56149,87099,84725,50116,56275,85779,15412,68511,70056,27935,38,7,11
10,41343,95295,91842,41297,81706,47129,56478,86351,91146,37433,46637,96545,26664,94284,99571,32310,41343,95295,91842,41297,81706,47129,56478,86351,91146,37433,46637,96545,26664,94284,99571,32310,41,7,11
11,38683,101721,100878,49377,81680,44709,56171,96985,86162,39692,51063,104607,29632,88524,98734,33664,38683,101721,100878,49377,81680,44709,56171,96985,86162,39692,51063,104607,29632,88524,98734,33664,43,7,11
